region,centerCode,centerType,organizationType,accountName,address1,address2,city,state,zipCode,phone,fax,website,votingRights,membershipStatus,vaAffiliated,mainPrograms,livingPrograms,pediatricPrograms,pediatricOnly
3,ALCH,TX1,Transplant Hospital,Children's of Alabama,1600 7th Avenue South,,Birmingham,AL,35233,205-638-3333,205-638-6095,http://www.childrensal.org,Y,Approved,N,"HR, KI, LI",,"HR, KI, LI",Y
3,ALOB,OP1,Independent OPO,Legacy of Hope,502 20th Street South,,Birmingham,AL,35233,205-731-9200,205-731-9250,http://legacyofhope.org/,Y,Approved,N,,,,N
3,ALUA,IT1,Hospital Based Lab,Histocompatibility and Immunogenetics Laboratory CTI at UAB,"619 19th Street S, West Pavilion P290",,Birmingham,AL,35249,205-934-4987,205-975-6698,https://www.uabmedicine.org/specialties/transplant-services/,N,Approved,N,,,,N
3,ALUA,TX1,Transplant Hospital,University of Alabama Hospital,1802 6th Avenue South,,Birmingham,AL,35233,833-822-2841,205-975-5310,https://www.uabmedicine.org/specialties/transplant-services/,Y,Approved,N,"HL, HR, KI, LI, LU, PA, PI, UT","KI, LI","HR, KI, LU, PA",N
3,ARBH,TX1,Transplant Hospital,Baptist Medical Center,9601 Baptist Health Drive,,Little Rock,AR,72205,501-202-1500,501-202-1357,https://www.baptist-health.com/location/baptist-health-transplant-institute,Y,Approved,N,HR,,,N
3,ARCH,TX1,Transplant Hospital,Arkansas Children's Hospital,1 Children's Way,,Little Rock,AR,72202,501-364-1100,,http://www.archildrens.org/,Y,Approved,N,"HR, KI",,"HR, KI",Y
3,AROR,OP1,Independent OPO,Southern Legacy of Life,1300 Wilson Road,,Little Rock,AR,72205,501-907-9150,501-372-6279,http://www.arora.org,Y,Approved,N,,,,N
3,ARUA,IT1,Hospital Based Lab,Tissue Typing Laboratory at UAMS Medical Center,800 Marshall Street,Room S-2177,Little Rock,AR,72202,501-364-1803,501-364-4795,,N,Approved,N,,,,N
3,ARUA,TX1,Transplant Hospital,UAMS Medical Center,4301 West Markham Street,,Little Rock,AR,72205,501-686-7000,,http://www.uams.edu,Y,Approved,N,"KI, LI, PA",KI,,N
5,AZCH,TX1,Transplant Hospital,Phoenix Children's Hospital,1919 East Thomas Road,,Phoenix,AZ,85016,602-933-1000,,https://phoenixchildrens.org/,Y,Approved,N,"HR, KI, LI",KI,"HR, KI, LI",Y
